dataproviderid,occurrenceid,measurementid,measurementtype,measurementvalue,measurementaccuracy,measurementunit,measurementdetermineddate,measurementdeterminedby,measurementmethod,measurementremarks
1076,OBSVLFR_HistoricalPointB_05_10RG-8759,28662,abundance,0.21741,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8620,28773,abundance,0.652229,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1469,27434,abundance,1.30446,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1330,27267,abundance,0.326115,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-9293,28588,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-4871,28038,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4315,28022,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-7651,29189,abundance,0.0169851,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-8065,29267,abundance,0.101911,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-1887,26898,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1609,27181,abundance,0.186837,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-4316,27838,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4872,27776,abundance,0.0169851,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-8877,28524,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9433,28681,abundance,0.254777,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1331,26846,abundance,0.0169851,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1470,27409,abundance,0.934183,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-9850,27655,abundance,0.0849257,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-6262,29148,abundance,1.07006,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-1884,26868,abundance,0.0271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-2162,26874,abundance,0.0271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-2440,27034,abundance,0.0815287,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-7232,27541,abundance,0.0815287,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005ChaeAnne
1076,OBSVLFR_HistoricalPointB_05_10RG-9708,28514,abundance,0.0543524,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-6259,28944,abundance,0.0543524,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-9847,27689,abundance,0.597877,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-8757,28439,abundance,0.0271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1328,27030,abundance,0.0815287,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1467,27202,abundance,0.21741,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8874,28724,abundance,0.407643,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9291,28448,abundance,0.0271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-4591,28096,abundance,0.163057,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4452,27964,abundance,0.0815287,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-7236,27546,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005ChaeAnne
1076,OBSVLFR_HistoricalPointB_05_10RG-8205,29420,abundance,0.869639,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-2305,27107,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1610,27272,abundance,0.326115,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-4873,28148,abundance,0.21741,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-9295,28589,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8761,28571,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1471,27508,abundance,6.84841,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-9851,27661,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-3555,28003,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-6263,29187,abundance,23.3715,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-1611,27262,abundance,0.288747,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-2306,26904,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-7514,29324,abundance,0.203822,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-6264,29145,abundance,1.01911,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-9852,27665,abundance,0.118896,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-1472,27447,abundance,1.57962,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8623,28460,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8762,28431,abundance,0.0169851,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8879,28525,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9435,28433,abundance,0.0169851,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1333,27222,abundance,0.220807,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-499,26842,abundance,0.0169851,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-4874,28047,abundance,0.118896,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4457,27842,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4318,28100,abundance,0.169851,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-8068,29301,abundance,0.135881,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-2307,27435,abundance,1.32484,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1612,27456,abundance,1.73248,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-4319,28228,abundance,0.407643,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-361,26984,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1334,27295,abundance,0.407643,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8880,28466,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9297,28478,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8763,28562,abundance,0.101911,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8624,28461,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1473,27498,abundance,4.72187,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-9853,27668,abundance,0.135881,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-3763,27827,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-6265,29155,abundance,1.39278,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-1615,27291,abundance,0.373673,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-7241,27533,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005ChaeAnne
1076,OBSVLFR_HistoricalPointB_05_10RG-8071,29320,abundance,0.186837,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-6268,29135,abundance,0.764331,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-1476,27448,abundance,1.63057,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8766,28521,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8883,28526,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9439,28625,abundance,0.152866,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1337,27121,abundance,0.135881,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-920,26885,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-86,26841,abundance,0.0169851,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-642,26844,abundance,0.0169851,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-4322,27839,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4878,28259,abundance,0.509554,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4461,28113,abundance,0.186837,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-2030,26871,abundance,0.0271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8208,29380,abundance,0.407643,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-1613,27442,abundance,1.49469,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1891,26869,abundance,0.0271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-2308,27427,abundance,1.11423,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-4876,27815,abundance,0.0271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4320,28311,abundance,0.78811,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-1335,27268,abundance,0.326115,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-9298,28449,abundance,0.0271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8881,28578,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8764,28495,abundance,0.0543524,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1474,27490,abundance,3.75032,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8625,28566,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-6266,29151,abundance,1.11423,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-9854,27677,abundance,0.21741,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-2311,26905,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1616,27466,abundance,2.03822,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-9857,27669,abundance,0.135881,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-6269,29118,abundance,0.509554,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-9718,28618,abundance,0.135881,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1477,27386,abundance,0.747346,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8884,28739,abundance,0.441614,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9440,28611,abundance,0.135881,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-4601,27844,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-1338,26993,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-87,26881,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-921,26988,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-4184,27833,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4879,28190,abundance,0.271762,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4462,27938,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-1617,27459,abundance,1.76645,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1756,27040,abundance,0.0905874,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-2312,26932,abundance,0.0452937,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8212,29426,abundance,0.996461,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-4463,28257,abundance,0.498231,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4880,28360,abundance,1.4041,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-922,27168,abundance,0.181175,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1339,27239,abundance,0.271762,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-9441,28753,abundance,0.498231,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8885,28638,abundance,0.181175,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1478,27288,abundance,0.36235,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-6270,29160,abundance,1.76645,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-9858,27656,abundance,0.0905874,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-8209,29443,abundance,1.63057,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-8070,29350,abundance,0.271762,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-6823,28978,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-2309,27020,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1614,27411,abundance,0.951168,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-6267,29184,abundance,13.8599,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-1475,27482,abundance,3.05732,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8765,28520,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9299,28541,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9438,28749,abundance,0.475584,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1336,26992,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-4877,28189,abundance,0.271762,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4321,28073,abundance,0.135881,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-1619,27297,abundance,0.407643,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-6828,28931,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-7522,29243,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-8214,29212,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-4326,28074,abundance,0.135881,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4187,27834,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4882,28191,abundance,0.271762,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-4465,28120,abundance,0.203822,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-6550,29043,abundance,0.169851,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-1341,26994,abundance,0.0679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-368,26882,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-9443,28481,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-8887,28777,abundance,0.679406,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-4604,27988,abundance,0.101911,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-8770,28648,abundance,0.203822,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-1480,27263,abundance,0.305732,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-5299,27851,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-6272,29178,abundance,6.42038,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-9721,28726,abundance,0.407643,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9860,27708,abundance,1.46072,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-3770,27828,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-7246,27553,abundance,0.163057,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005ChaeAnne
1076,OBSVLFR_HistoricalPointB_05_10RG-7523,29272,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-6829,29092,abundance,0.271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-7662,29363,abundance,0.326115,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-8215,29376,abundance,0.380467,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-1620,27249,abundance,0.271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1898,27210,abundance,0.21741,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8426,29313,abundance,0.163057,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-6273,29180,abundance,7.01147,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-5300,28277,abundance,0.543524,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-1481,27269,abundance,0.326115,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-8771,28878,abundance,4.51125,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-5161,28041,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
1076,OBSVLFR_HistoricalPointB_05_10RG-8888,28822,abundance,1.25011,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9444,28504,abundance,0.0543524,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-369,26940,abundance,0.0543524,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1342,27151,abundance,0.163057,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-1203,27266,abundance,0.326115,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Arth
1076,OBSVLFR_HistoricalPointB_05_10RG-6551,29144,abundance,0.923992,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Moll
1076,OBSVLFR_HistoricalPointB_05_10RG-4466,28182,abundance,0.271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005CnidCten
